id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
ACY1	fa4z0e	Proteins	Bile.duct.cancer	0.0118699993801752	4.18931332507028e-07	TRUE	1.31723345754341e-28
ADA2	fa4z0e	Proteins	Bile.duct.cancer	0.241954675214327	6.49244818152778e-07	TRUE	1.26653594643258e-207
ADAMTS13	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	6.61946254218722e-09	TRUE	2.30147735123885e-184
ADAMTS5	fa4z0e	Proteins	Bile.duct.cancer	0.375422648983948	8.32277057219494e-08	TRUE	6.09918736691964e-112
ADAMTSL1	fa4z0e	Proteins	Bile.duct.cancer	0.0219408723105889	2.41967972581105e-07	TRUE	1.81072134712007e-158
ADAMTSL2	fa4z0e	Proteins	Bile.duct.cancer	0.00446495925306698	1.53343422579384e-06	TRUE	2.05212154024788e-11
ADH1A	fa4z0e	Proteins	Bile.duct.cancer	0.0210823132569614	7.80585125227149e-06	TRUE	1.64221416477837e-48
ADH1C	fa4z0e	Proteins	Bile.duct.cancer	0.00688018932449417	1.35850293127143e-07	TRUE	2.22061704224231e-50
ADH5	fa4z0e	Proteins	Bile.duct.cancer	0.0301567580087296	2.14316637980729e-09	TRUE	1.24614744088088e-71
ADH7	fa4z0e	Proteins	Bile.duct.cancer	0.0405350892064554	5.46304775976476e-06	TRUE	3.34638339512474e-94
ADIPOQ	fa4z0e	Proteins	Bile.duct.cancer	0.0195205953072981	5.17949016581102e-06	TRUE	2.06021104361846e-137
ADSSL1	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.18883534302158e-06	TRUE	1.32909454226676e-196
AES	fa4z0e	Proteins	Bile.duct.cancer	0.00495009928359652	7.63244377607101e-09	TRUE	6.85500373384481e-13
AFM	fa4z0e	Proteins	Bile.duct.cancer	0.0515699270929557	2.39812408272391e-06	TRUE	2.3367063277233e-121
AGAP2	fa4z0e	Proteins	Bile.duct.cancer	0.0072761190412166	1.10406083798408e-05	TRUE	5.01663649785486e-17
AGRN	fa4z0e	Proteins	Bile.duct.cancer	0.0448050264816811	1.07212492655454e-08	TRUE	1.66313012467621e-106
AGRP	fa4z0e	Proteins	Bile.duct.cancer	0.0717797939462909	2.13684008434287e-06	TRUE	7.07031172186433e-18
AGT	fa4z0e	Proteins	Bile.duct.cancer	0.0439023742440765	1.24849342799369e-06	TRUE	2.5339375755635e-11
AHSG	fa4z0e	Proteins	Bile.duct.cancer	0.166221978155404	7.61680250217286e-08	TRUE	4.45807171465152e-135
AIF1L	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	4.34391100462844e-06	TRUE	2.75613173431285e-195
AKR1A1	fa4z0e	Proteins	Bile.duct.cancer	0.159480465652082	7.89737302690586e-07	TRUE	1.21844963661261e-128
AKR1B1	fa4z0e	Proteins	Bile.duct.cancer	0.0184370390166112	3.01813717331838e-07	TRUE	7.19033097006685e-15
AKR1C1	fa4z0e	Proteins	Bile.duct.cancer	0.0293293900140692	1.43062887246022e-07	TRUE	5.69540342888547e-23
AKR7A2	fa4z0e	Proteins	Bile.duct.cancer	0.0332344548503126	8.77185417849751e-08	TRUE	1.04887876949026e-78
AKR7A3	fa4z0e	Proteins	Bile.duct.cancer	0.0399958808303271	1.71583176191704e-07	TRUE	1.11038197502149e-94
ALAD	fa4z0e	Proteins	Bile.duct.cancer	0.0248079312797532	1.24154308604056e-07	TRUE	8.07117483119594e-59
ALDH6A1	fa4z0e	Proteins	Bile.duct.cancer	0.0103087491299668	7.21795491702669e-09	TRUE	2.82264811522056e-25
ALDOB	fa4z0e	Proteins	Bile.duct.cancer	0.0240444351239587	8.0685526994535e-08	TRUE	4.42157112637626e-57
ALDOC	fa4z0e	Proteins	Bile.duct.cancer	0.00905033208828935	2.87842071263115e-07	TRUE	3.5876852789559e-22
ALKBH3	fa4z0e	Proteins	Bile.duct.cancer	0.0677303618597593	6.51274816644001e-06	TRUE	1.24303512287912e-159
ALPPL2	fa4z0e	Proteins	Bile.duct.cancer	0.022479811545457	3.36527220973026e-06	TRUE	2.29192128745294e-52
AMY1B_AMY1C_AMY1A	fa4z0e	Proteins	Bile.duct.cancer	0.0816198219704969	6.96607970409194e-06	TRUE	2.88375907733233e-62
AMY2A	fa4z0e	Proteins	Bile.duct.cancer	0.0793696306273295	3.32469200986792e-06	TRUE	1.74564714613049e-189
ANG	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	6.272537127899e-06	TRUE	9.90373252260198e-195
ANGPTL1	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	9.82899051447154e-08	TRUE	1.23384441059768e-197
ANGPTL3	fa4z0e	Proteins	Bile.duct.cancer	0.0397339928007336	3.35855456443816e-07	TRUE	6.63419112310676e-94
ANKRD27	fa4z0e	Proteins	Bile.duct.cancer	0.0128916932015552	5.68532623226824e-06	TRUE	4.54019989031138e-30
ANTXR2	fa4z0e	Proteins	Bile.duct.cancer	0.0126702729945009	4.33450511003603e-07	TRUE	2.52613593804685e-91
ANXA11	fa4z0e	Proteins	Bile.duct.cancer	0.0303075160982104	8.34387199832861e-07	TRUE	2.68784903332513e-71
ANXA2	fa4z0e	Proteins	Bile.duct.cancer	0.16362589804941	2.19145374653378e-07	TRUE	0
ANXA4	fa4z0e	Proteins	Bile.duct.cancer	0.0575422537741728	3.9366120824933e-07	TRUE	7.42685399636659e-137
ANXA5	fa4z0e	Proteins	Bile.duct.cancer	0.0235700510562093	7.09540340430524e-07	TRUE	1.40072597999967e-55
AOC1	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.27924030023739e-06	TRUE	1.50509057511263e-196
AP1G2	fa4z0e	Proteins	Bile.duct.cancer	0.0192134747494516	2.92961799894842e-06	TRUE	6.57250462624447e-45
AP2A2	fa4z0e	Proteins	Bile.duct.cancer	0.0077963398001317	3.37171524490716e-07	TRUE	2.85361145492398e-19
APCS	fa4z0e	Proteins	Bile.duct.cancer	0.0310740079423335	5.9102919562385e-06	TRUE	9.4515364575866e-24
APMAP	fa4z0e	Proteins	Bile.duct.cancer	0.0200892531920639	5.44193336851087e-06	TRUE	1.00519127362415e-15
APOA1BP	fa4z0e	Proteins	Bile.duct.cancer	0.029874997576603	3.56512770460502e-06	TRUE	1.62811689165688e-69
APOA4	fa4z0e	Proteins	Bile.duct.cancer	0.0105065297986281	2.13154571252124e-07	TRUE	1.47847499544735e-25
APOA5	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.46011318302917e-07	TRUE	1.52241467693811e-197
APOB	fa4z0e	Proteins	Bile.duct.cancer	0.00151769187590377	4.73135479385618e-06	TRUE	3.2061627220941e-11
APOBEC3G	fa4z0e	Proteins	Bile.duct.cancer	0.0175138187528565	8.9884571555609e-08	TRUE	7.58124194058512e-42
APOC1	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	4.00189515094846e-06	TRUE	4.93776548984627e-180
APOC3	fa4z0e	Proteins	Bile.duct.cancer	0.0106729141824692	5.46938823582575e-07	TRUE	8.26460755421039e-26
APOE	fa4z0e	Proteins	Bile.duct.cancer	0.0448604076914481	1.43148718868984e-05	TRUE	4.38066822512661e-103
APOF	fa4z0e	Proteins	Bile.duct.cancer	0.0128756880198644	1.33618267543446e-05	TRUE	4.74284349446094e-88
APOH	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	8.6205780666847e-07	TRUE	8.10367075710738e-197
APOL3	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	3.94018310364725e-07	TRUE	3.22933667657356e-197
ARFIP1	fa4z0e	Proteins	Bile.duct.cancer	0.0276649614366881	5.14732403016684e-07	TRUE	1.18889601119392e-21
ARG2	fa4z0e	Proteins	Bile.duct.cancer	0.00822644431407005	2.48638226917957e-06	TRUE	7.53020679290505e-20
ARHGEF25	fa4z0e	Proteins	Bile.duct.cancer	0.0158617313247253	2.411705786557e-06	TRUE	2.68663957567704e-37
ARPC1B	fa4z0e	Proteins	Bile.duct.cancer	0.0066396961215105	1.52506319300815e-05	TRUE	2.1089157054421e-15
ARSK	fa4z0e	Proteins	Bile.duct.cancer	0.00885117615633284	2.69802604252961e-07	TRUE	1.01257904060919e-21
ART3	fa4z0e	Proteins	Bile.duct.cancer	0.0414861613518297	6.92220387544152e-07	TRUE	5.95555388836095e-32
ART4	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.28680505661128e-06	TRUE	1.52052493548433e-196
ASAH2	fa4z0e	Proteins	Bile.duct.cancer	0.156873831990895	3.81195279604614e-06	TRUE	1.10552373832675e-125
ASF1A	fa4z0e	Proteins	Bile.duct.cancer	0.0251294122013173	4.30183648564417e-06	TRUE	2.47704275377088e-58
ASL	fa4z0e	Proteins	Bile.duct.cancer	0.0126046746885096	7.95595569222675e-06	TRUE	3.36732516427582e-29
ASPH	fa4z0e	Proteins	Bile.duct.cancer	0.0198971574780038	1.4439182820937e-06	TRUE	8.25206146975716e-47
ASPN	fa4z0e	Proteins	Bile.duct.cancer	0.102254547744917	6.12420128634209e-07	TRUE	1.04173771335305e-79
ATOX1	fa4z0e	Proteins	Bile.duct.cancer	0.00460712191161903	1.73607256156687e-07	TRUE	5.41315279609533e-12
ATP1B2	fa4z0e	Proteins	Bile.duct.cancer	0.0378941469167324	4.59949843925067e-06	TRUE	6.96974758906612e-29
ATRN	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	4.88872730223486e-07	TRUE	4.01902206773643e-197
ATXN3	fa4z0e	Proteins	Bile.duct.cancer	0.0453523009725793	2.78896513214208e-07	TRUE	2.08196891787879e-107
AZGP1	fa4z0e	Proteins	Bile.duct.cancer	0.0677886237342631	2.80686279914138e-07	TRUE	3.34815612898062e-162
B3GALT6	fa4z0e	Proteins	Bile.duct.cancer	0.00857249823238522	1.69006104072857e-06	TRUE	9.42820201800695e-21
B3GALTL	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	2.66692151601328e-06	TRUE	6.9688218785653e-196
B3GNT8	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	4.64352845314504e-07	TRUE	5.2720817744483e-183
B4GALT1	fa4z0e	Proteins	Bile.duct.cancer	0.0331238186074809	2.99765421128741e-09	TRUE	1.20612216524466e-78
B4GALT2	fa4z0e	Proteins	Bile.duct.cancer	0.0567630668346551	1.91651031787618e-05	TRUE	7.21968635228802e-131
B4GALT6	fa4z0e	Proteins	Bile.duct.cancer	0.0999159766809502	2.63260146709607e-06	TRUE	2.09935405296505e-77
BCAT2	fa4z0e	Proteins	Bile.duct.cancer	0.0182471239751385	7.47343531804165e-08	TRUE	1.44510752353872e-43
BCHE	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.19768341162112e-05	TRUE	1.80588049618589e-193
BDH2	fa4z0e	Proteins	Bile.duct.cancer	0.0342371225856496	3.72870093546561e-08	TRUE	3.60911437910348e-81
BDNF	fa4z0e	Proteins	Bile.duct.cancer	0.00285870167409411	5.72614362277901e-06	TRUE	2.97917364194405e-20
BET1L	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	2.51107722816211e-06	TRUE	6.01168660050005e-196
BIN1	fa4z0e	Proteins	Bile.duct.cancer	0.0252573988994451	4.17091675531918e-06	TRUE	1.18699186059632e-58
BMPER	fa4z0e	Proteins	Bile.duct.cancer	0.00745162118333875	2.42296493162137e-07	TRUE	1.63102013140615e-18
BOC	fa4z0e	Proteins	Bile.duct.cancer	0.0161878233208912	1.24819415779127e-06	TRUE	9.66629073594671e-116
BOLA1	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	3.46227130178886e-06	TRUE	1.39507435596814e-195
BOLA3	fa4z0e	Proteins	Bile.duct.cancer	0.0203464784850481	3.33371751643805e-06	TRUE	1.90380986597412e-47
BPHL	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	3.74794415078662e-07	TRUE	3.07967273909136e-197
BPI	fa4z0e	Proteins	Bile.duct.cancer	0.0875408772513423	8.46485202522584e-07	TRUE	1.03241415021882e-67
BPNT2	fa4z0e	Proteins	Bile.duct.cancer	0.0842703197050979	1.53828369475179e-08	TRUE	1.96475493258743e-65
BRSK2	fa4z0e	Proteins	Bile.duct.cancer	0.0484722318840414	3.73320363405835e-08	TRUE	2.89686029770377e-115
BST1	fa4z0e	Proteins	Bile.duct.cancer	0.241954675214327	2.58530103807464e-06	TRUE	5.19178620660642e-207
BTD	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.93621021117899e-06	TRUE	3.33424919594185e-196
BTNL9	fa4z0e	Proteins	Bile.duct.cancer	0.00653350061806875	3.27883751283647e-07	TRUE	2.25601851563864e-16
C1orf198	fa4z0e	Proteins	Bile.duct.cancer	0.0135081509200982	9.63431150047206e-06	TRUE	4.27570357369052e-31
C1QC	fa4z0e	Proteins	Bile.duct.cancer	0.0918580573651192	4.51587706227855e-08	TRUE	1.67711077067602e-71
C1QTNF3	fa4z0e	Proteins	Bile.duct.cancer	0.0209985099749694	1.2134407806222e-06	TRUE	1.99771523457995e-49
C1QTNF5	fa4z0e	Proteins	Bile.duct.cancer	0.0266914133366652	8.35731555299227e-07	TRUE	6.97040118469652e-21
C1R	fa4z0e	Proteins	Bile.duct.cancer	0.142392493756564	3.13986947558459e-06	TRUE	1.20231328548325e-35
C1RL	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.94685743954921e-08	TRUE	7.23915437701263e-198
C3	fa4z0e	Proteins	Bile.duct.cancer	0.0252058045277269	1.03961748540653e-06	TRUE	2.87000830766771e-59
C4BPA	fa4z0e	Proteins	Bile.duct.cancer	0.0622396028859176	1.67284726097259e-07	TRUE	1.25569863067736e-148
C5	fa4z0e	Proteins	Bile.duct.cancer	0.012795158928532	1.87735409690426e-07	TRUE	7.56502789535227e-31
C6	fa4z0e	Proteins	Bile.duct.cancer	0.0612436284657118	1.58782035856736e-06	TRUE	3.31826204314571e-145
C7	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	5.06249036505624e-07	TRUE	4.17338478998738e-197
C8A_C8B_C8G	fa4z0e	Proteins	Bile.duct.cancer	0.0370893101794752	5.88744288093484e-06	TRUE	5.48495017765688e-86
C8G	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	3.53849355178586e-06	TRUE	2.66432617600257e-180
C9	fa4z0e	Proteins	Bile.duct.cancer	0.0102115704699318	5.06097153450289e-06	TRUE	4.63063620028959e-24
CA1	fa4z0e	Proteins	Bile.duct.cancer	0.0159972514150753	1.02238106050669e-06	TRUE	1.45120766543663e-114
CA10	fa4z0e	Proteins	Bile.duct.cancer	0.0240911413186435	3.55506227913522e-07	TRUE	4.94382179928537e-19
CA13	fa4z0e	Proteins	Bile.duct.cancer	0.0799060106923489	2.02049679117181e-06	TRUE	7.60858880741244e-20
CA8	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	4.20059124128429e-06	TRUE	6.36182548491192e-180
CABLES2	fa4z0e	Proteins	Bile.duct.cancer	0.00453465992555819	1.77461250352205e-05	TRUE	1.10372422054109e-10
CACNA2D3	fa4z0e	Proteins	Bile.duct.cancer	0.0182791905148292	1.32767835576042e-06	TRUE	4.2263121127615e-43
CADM1	fa4z0e	Proteins	Bile.duct.cancer	0.0085882825901383	2.55880958207355e-06	TRUE	5.83389416926414e-61
CALCB	fa4z0e	Proteins	Bile.duct.cancer	0.0226163906085157	2.39110323980607e-06	TRUE	3.94428228045066e-161
CALCOCO2	fa4z0e	Proteins	Bile.duct.cancer	0.00646440674736473	6.2867131463991e-07	TRUE	3.91588164650951e-16
CAMP	fa4z0e	Proteins	Bile.duct.cancer	0.00256073796630695	1.18768626901174e-06	TRUE	3.99934222121157e-19
CAPN1_CAPNS1	fa4z0e	Proteins	Bile.duct.cancer	0.0752681830815279	1.87804709967467e-07	TRUE	7.6404940138824e-19
CAPN2	fa4z0e	Proteins	Bile.duct.cancer	0.0121190912146536	7.64535364896711e-06	TRUE	3.91614561149004e-84
CARD9	fa4z0e	Proteins	Bile.duct.cancer	0.0143419792101093	5.97970709858721e-07	TRUE	3.09638130433974e-34
CASP3	fa4z0e	Proteins	Bile.duct.cancer	0.0442789280642839	3.38151136119968e-06	TRUE	2.41869333353899e-11
CASP8	fa4z0e	Proteins	Bile.duct.cancer	0.00370738388660857	2.59749050519703e-07	TRUE	6.69505243374069e-24
CASS4	fa4z0e	Proteins	Bile.duct.cancer	0.00900812709836647	3.91403471194167e-08	TRUE	3.19972745669196e-22
CAT	fa4z0e	Proteins	Bile.duct.cancer	0.101856618035651	8.00941930703547e-06	TRUE	4.690030643189e-25
CBLN1	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.52638091780021e-05	TRUE	6.97496795771673e-193
CBLN4	fa4z0e	Proteins	Bile.duct.cancer	0.0165631877771574	6.79546566108466e-07	TRUE	2.47445552756478e-39
CBR1	fa4z0e	Proteins	Bile.duct.cancer	0.0633978150831218	3.88862770871062e-06	TRUE	2.75708312478537e-48
CBR3	fa4z0e	Proteins	Bile.duct.cancer	0.241954675214327	3.22803221372133e-06	TRUE	7.23412921836676e-207
CCBL2	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	6.55654887163694e-06	TRUE	1.17448768957487e-194
CCDC126	fa4z0e	Proteins	Bile.duct.cancer	0.0577929341725582	5.54977526839675e-06	TRUE	1.46484905022543e-135
CCDC80	fa4z0e	Proteins	Bile.duct.cancer	0.00734417151892132	3.86516515237053e-06	TRUE	1.07460688820426e-17
CCL14	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	2.26871848056684e-06	TRUE	4.73256800834313e-196
CCL15	fa4z0e	Proteins	Bile.duct.cancer	0.241954675214327	1.4723697078854e-06	TRUE	2.59486600126316e-207
CCL16	fa4z0e	Proteins	Bile.duct.cancer	0.241954675214327	5.90186305992754e-07	TRUE	1.18559072425407e-207
CCL17	fa4z0e	Proteins	Bile.duct.cancer	0.0323778012849412	1.73555653781073e-08	TRUE	8.17881077873188e-77
CCL18	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.69230585735819e-06	TRUE	2.5285884872758e-196
CCL22	fa4z0e	Proteins	Bile.duct.cancer	0.0413058752321723	3.07817963200145e-06	TRUE	1.5169903794619e-31
CCL23	fa4z0e	Proteins	Bile.duct.cancer	0.13067423537353	1.28982729743546e-06	TRUE	1.1428790583136e-32
CCL3L1	fa4z0e	Proteins	Bile.duct.cancer	0.049352003835826	5.42846782473575e-06	TRUE	1.78015884017279e-12
CCL4	fa4z0e	Proteins	Bile.duct.cancer	0.0248951325629583	3.73863033436971e-10	TRUE	4.40902309450272e-155
CCL7	fa4z0e	Proteins	Bile.duct.cancer	0.267370574302197	3.11362417493034e-07	TRUE	1.11753991768346e-72
CCL8	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	2.86362072991419e-07	TRUE	2.43240415493119e-197
CCM2	fa4z0e	Proteins	Bile.duct.cancer	0.00846901949905155	9.37211295777645e-06	TRUE	8.6378478370733e-20
CCNH	fa4z0e	Proteins	Bile.duct.cancer	0.00906664915129097	3.60516098000457e-07	TRUE	3.50769611211134e-22
CD109	fa4z0e	Proteins	Bile.duct.cancer	0.184719172026139	4.40907133809228e-06	TRUE	3.44598956038503e-47
CD14	fa4z0e	Proteins	Bile.duct.cancer	0.0516819444770222	2.29682111210054e-06	TRUE	1.15798329781565e-121
CD177	fa4z0e	Proteins	Bile.duct.cancer	0.147015044666015	2.26256216558947e-07	TRUE	7.70093738607929e-118
CD200	fa4z0e	Proteins	Bile.duct.cancer	0.00785699430863409	7.73501184367206e-06	TRUE	1.56458272746423e-18
CD209	fa4z0e	Proteins	Bile.duct.cancer	0.0622526747548663	2.06742827081906e-07	TRUE	1.31624862331827e-148
CD300A	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	5.71857226141055e-06	TRUE	7.01988166823593e-195
CD40	fa4z0e	Proteins	Bile.duct.cancer	0.030002008897023	1.01090176797739e-06	TRUE	4.83259786107421e-185
CD46	fa4z0e	Proteins	Bile.duct.cancer	0.0239204143523401	1.09257829336811e-05	TRUE	9.88671201705984e-167
CD55	fa4z0e	Proteins	Bile.duct.cancer	0.135789143083077	1.85198159964482e-06	TRUE	5.68567245174376e-34
CD59	fa4z0e	Proteins	Bile.duct.cancer	0.0531250787438477	2.62767141944613e-09	TRUE	4.753738317984e-41
CD5L	fa4z0e	Proteins	Bile.duct.cancer	0.0682102877882234	2.38357849301049e-07	TRUE	2.67971867930089e-163
CD68	fa4z0e	Proteins	Bile.duct.cancer	0.00529641560568397	7.88669200727542e-10	TRUE	1.03380273331729e-13
CD7	fa4z0e	Proteins	Bile.duct.cancer	0.0595904142136755	5.08858931009466e-07	TRUE	8.98928988246847e-142
CD72	fa4z0e	Proteins	Bile.duct.cancer	0.014719590389543	1.86305906272216e-06	TRUE	8.8223409776648e-35
CD8A	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	1.42712974923024e-06	TRUE	7.60362931725934e-182
CDH17	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	7.10840419599724e-06	TRUE	1.52714759873624e-178
CDH5	fa4z0e	Proteins	Bile.duct.cancer	0.0159046464231034	6.90452469091123e-07	TRUE	8.28234526466346e-38
CDNF	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	7.25984251783358e-07	TRUE	6.4149040106667e-197
CDON	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.57496429530467e-10	TRUE	4.90444174165672e-198
CEL	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	1.09633221085769e-07	TRUE	8.48479119732085e-184
CELA2A	fa4z0e	Proteins	Bile.duct.cancer	0.0037599866719939	3.23678973122864e-07	TRUE	5.36768218202175e-28
CETN3	fa4z0e	Proteins	Bile.duct.cancer	0.0136799497498666	3.56959651068232e-08	TRUE	5.07180591392563e-33
CFD	fa4z0e	Proteins	Bile.duct.cancer	0.00952188927506049	2.32337784101382e-07	TRUE	2.79304386316154e-23
CFH	fa4z0e	Proteins	Bile.duct.cancer	0.147950797790744	1.8454326961472e-06	TRUE	3.35904712575647e-37
CFHR2	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	2.01195419324787e-06	TRUE	3.62020687025625e-196
CFHR3	fa4z0e	Proteins	Bile.duct.cancer	0.00512867707994345	1.54807018218485e-10	TRUE	2.86798634931011e-38
CFHR4	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	5.22814751760592e-06	TRUE	2.16117294699226e-179
CFHR5	fa4z0e	Proteins	Bile.duct.cancer	0.167045186133655	2.85293979613374e-06	TRUE	5.94436732920128e-135
CFI	fa4z0e	Proteins	Bile.duct.cancer	0.070179708497937	2.71613811537066e-06	TRUE	1.80108564939096e-17
CGA_CGB	fa4z0e	Proteins	Bile.duct.cancer	0.0583920940109875	6.41051112583214e-06	TRUE	1.42674696609206e-14
CGA_CGB_CGB5_CGB7_CGB8_CGB3	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.24396167045732e-07	TRUE	1.39122963575873e-197
CGA_FSHB	fa4z0e	Proteins	Bile.duct.cancer	0.0123988340054416	1.71754508359507e-05	TRUE	4.42597569518637e-28
CGA_LHB	fa4z0e	Proteins	Bile.duct.cancer	0.0651825671076119	1.31877111750215e-07	TRUE	2.90931675374913e-50
CHAD	fa4z0e	Proteins	Bile.duct.cancer	0.00573963315739106	5.1874901911812e-07	TRUE	1.69268261483197e-14
CHGA	fa4z0e	Proteins	Bile.duct.cancer	0.0233255204735367	1.82558551814717e-06	TRUE	1.13540205936864e-166
CHI3L1	fa4z0e	Proteins	Bile.duct.cancer	0.241954675214327	9.24060839835556e-07	TRUE	1.66526724727147e-207
CHIT1	fa4z0e	Proteins	Bile.duct.cancer	0.241954675214327	2.75055353642454e-07	TRUE	7.71850472075617e-208
CHMP2B	fa4z0e	Proteins	Bile.duct.cancer	0.0695733909338101	1.32434204549034e-07	TRUE	7.73643754951211e-167
CHRD	fa4z0e	Proteins	Bile.duct.cancer	0.00323494318889182	4.48657016903601e-06	TRUE	4.78596876980738e-23
CHRDL2	fa4z0e	Proteins	Bile.duct.cancer	0.0331031740402135	1.15122476389158e-06	TRUE	1.32546917517216e-25
CHST15	fa4z0e	Proteins	Bile.duct.cancer	0.00976180821923712	1.26680868596956e-06	TRUE	1.52332492897133e-23
CHST4	fa4z0e	Proteins	Bile.duct.cancer	0.0114511839126903	3.80195442961664e-06	TRUE	5.17543412721866e-27
CHST9	fa4z0e	Proteins	Bile.duct.cancer	0.0476083357782908	1.44190898073765e-08	TRUE	8.28633148149509e-37
CINP	fa4z0e	Proteins	Bile.duct.cancer	0.00108828549241033	5.17122842650313e-08	TRUE	3.41459522647716e-09
CKM	fa4z0e	Proteins	Bile.duct.cancer	0.0193989058312263	1.93043191822186e-07	TRUE	1.33641239332851e-15
CKMT2	fa4z0e	Proteins	Bile.duct.cancer	0.0116501863126325	2.41714638128343e-09	TRUE	2.14352567485183e-28
CLEC11A	fa4z0e	Proteins	Bile.duct.cancer	0.0726396637544667	1.13157807935074e-08	TRUE	8.28679297035151e-175
CLEC12A	fa4z0e	Proteins	Bile.duct.cancer	0.241954675214327	5.68546968194946e-08	TRUE	4.66368035653997e-208
CLEC3B	fa4z0e	Proteins	Bile.duct.cancer	0.0271476534179127	1.65237828222935e-06	TRUE	1.31983725575763e-63
CLIC5	fa4z0e	Proteins	Bile.duct.cancer	0.0774037089488186	1.3355109724557e-06	TRUE	2.05293984361375e-185
CLN5	fa4z0e	Proteins	Bile.duct.cancer	0.0260893593445056	1.39932702628534e-06	TRUE	3.27456868192765e-61
